City/Country,City,Name,Latitude,Longitude,Value,Type
"Glasgow, United Kingdom",Glasgow,Scotland,55.860982,-4.248879,74.3,Cost of Living Index
"Exeter, United Kingdom",Exeter,England,50.725562,-3.526911,73.17,Cost of Living Index
"Birmingham, United Kingdom",Birmingham,England,52.47754,-1.894053,71.6,Cost of Living Index
"Cardiff, United Kingdom",Cardiff,Wales,51.481655,-3.179193,71.52,Cost of Living Index
"Southampton, United Kingdom",Southampton,England,50.902535,-1.404189,71.48,Cost of Living Index
"Newcastle Upon Tyne, United Kingdom",Newcastle Upon Tyne,England,54.973847,-1.613157,69.91,Cost of Living Index
"Liverpool, United Kingdom",Liverpool,England,53.407154,-2.991665,69.53,Cost of Living Index
"Belfast, United Kingdom",Belfast,Northern Ireland,54.596441,-5.930276,68.77,Cost of Living Index
"Derby, United Kingdom",Derby,England,52.921262,-1.476149,68.68,Cost of Living Index
"Zurich, Switzerland",Zurich,Switzerland,47.376943,8.541406,66.14,Rent Index
"Geneva, Switzerland",Geneva,Switzerland,46.201756,6.146601,71.7,Rent Index
"Basel, Switzerland",Basel,Switzerland,47.559599,7.588576,49.68,Rent Index
"Bern, Switzerland",Bern,Switzerland,46.947974,7.447447,43.57,Rent Index
"Lausanne, Switzerland",Lausanne,Switzerland,46.521827,6.632702,52.32,Rent Index
"Reykjavik, Iceland",Reykjavik,Iceland,64.145981,-21.942237,57.25,Rent Index
"Stavanger, Norway",Stavanger,Norway,58.96896,5.729465,39.83,Rent Index
"Lugano, Switzerland",Lugano,Switzerland,46.00501,8.952028,52.91,Rent Index
"Oslo, Norway",Oslo,Norway,59.91333,10.73897,49.28,Rent Index
"Trondheim, Norway",Trondheim,Norway,63.430566,10.395193,42.39,Rent Index
"Bergen, Norway",Bergen,Norway,60.391263,5.322054,40.3,Rent Index
"Copenhagen, Denmark",Copenhagen,Denmark,55.686724,12.570072,50.66,Rent Index
"Luxembourg, Luxembourg",Luxembourg,Luxembourg,49.815868,6.129675,61.59,Rent Index
"Paris, France",Paris,France,48.856614,2.352222,50.3,Rent Index
"Limerick, Ireland",Limerick,Ireland,52.661252,-8.630124,27.71,Rent Index
"Arhus, Denmark",Arhus,Denmark,56.149628,10.213405,34.82,Rent Index
"Aalborg, Denmark",Aalborg,Denmark,57.048221,9.919394,26.81,Rent Index
"Stockholm, Sweden",Stockholm,Sweden,59.325117,18.071093,45.27,Rent Index
"Montpellier, France",Montpellier,France,43.611242,3.876734,24.95,Rent Index
"Dublin, Ireland",Dublin,Ireland,53.349764,-6.260273,62.13,Rent Index
"Linz, Austria",Linz,Austria,48.30694,14.28583,29.43,Rent Index
"Amsterdam, Netherlands",Amsterdam,Netherlands,52.37454,4.897976,58.22,Rent Index
"Antwerp, Belgium",Antwerp,Belgium,51.22111,4.399708,28.06,Rent Index
"Helsinki, Finland",Helsinki,Finland,60.169856,24.938379,40.52,Rent Index
"Grenoble, France",Grenoble,France,45.18756,5.735782,25.07,Rent Index
"Tampere, Finland",Tampere,Finland,61.498021,23.760312,28.89,Rent Index
"Florence, Italy",Florence,Italy,43.769871,11.255576,31.81,Rent Index
"Nice, France",Nice,France,43.700936,7.268391,31.64,Rent Index
